YEAR,MO,DY,HR,T2M,PS,WS50M,WD50M,RH2M
2014,1,6,1,7.52,96.93,13.18,209.9,92.54
2014,1,6,2,7.57,96.93,13.21,207.3,92.53
2014,1,6,3,7.6,96.93,13.22,205.3,92.63
2014,1,6,4,7.47,96.95,13.06,203.5,92.58
2014,1,6,5,7.16,96.96,12.86,201.3,92.59
2014,1,6,6,6.88,96.98,13.04,198.3,92.38
2014,1,6,7,6.82,97,13.85,195.6,91.68
2014,1,6,8,6.97,97.01,14.83,194.1,90.76
2014,1,6,9,7.4,97,15.61,192.7,89.31
2014,1,6,10,7.95,96.97,16.03,191.8,87.44
2014,1,6,11,8.54,96.92,16.85,194,85.35
2014,1,6,12,9.02,96.88,16.99,197.3,83.93
2014,1,6,13,9.13,96.86,16.94,199.8,84.1
2014,1,6,14,8.9,96.87,16.87,202.1,85.56
2014,1,6,15,8.55,96.91,16.56,203.4,87.37
2014,1,6,16,8.24,96.96,16.1,203.8,89.13
2014,1,6,17,8.21,97,15.74,204.4,89.49
2014,1,6,18,8.25,97.03,15.53,205.7,89.56
2014,1,6,19,8.27,97.09,15.47,206.9,89.64
2014,1,6,20,8.23,97.16,15.45,208.5,89.52
2014,1,6,21,8.22,97.24,15.32,210.6,88.94
2014,1,6,22,8.07,97.32,15.08,211.6,88.05
2014,1,6,23,7.87,97.38,14.98,211.7,87.27
2014,1,7,0,7.78,97.45,15.14,212,86.98
2014,1,7,1,7.74,97.52,15.18,212.8,86.25
2014,1,7,2,7.43,97.58,14.99,213.2,85.74
2014,1,7,3,6.99,97.63,14.68,213.4,85.45
2014,1,7,4,6.62,97.66,13.95,212.5,86.88
2014,1,7,5,6.41,97.68,13.02,209,89.62
2014,1,7,6,6.53,97.72,12.45,204.2,92.3
2014,1,7,7,6.87,97.75,12.49,202.5,93.02
2014,1,7,8,6.88,97.82,12.8,205.1,92.71
2014,1,7,9,6.9,97.89,12.71,207,91.86
2014,1,7,10,7.3,97.93,12.34,207.1,90.49
2014,1,7,11,7.92,97.95,12.72,209.2,87.92
2014,1,7,12,8.35,97.95,13.89,212.7,84.68
2014,1,7,13,8.34,97.97,14.52,214.6,83.32
2014,1,7,14,7.99,97.99,14.99,215.8,85.35
2014,1,7,15,7.61,98.05,15.08,218.6,88.09
2014,1,7,16,7.51,98.12,14.4,220.4,89.37
2014,1,7,17,7.43,98.22,13.81,220.6,89.95
2014,1,7,18,7.29,98.32,13.42,220.9,90.44
2014,1,7,19,7.16,98.41,13.03,221.1,90.41
2014,1,7,20,7.02,98.49,12.57,221.1,90.57
2014,1,7,21,6.87,98.56,12.35,222.3,90.78
2014,1,7,22,6.74,98.62,12.19,223.5,91.34
2014,1,7,23,6.64,98.68,11.97,224.4,92.02
2014,1,8,0,6.51,98.75,11.99,225.2,92.58
2014,1,8,1,6.4,98.81,12.22,226.6,92.69
2014,1,8,2,6.32,98.87,12.35,227.5,92.6
2014,1,8,3,6.31,98.93,12.41,228,92.39
2014,1,8,4,6.33,98.97,12.44,229.1,92.3
2014,1,8,5,6.43,99.01,12.32,231.4,92.36
2014,1,8,6,6.49,99.07,11.79,234.4,93.18
2014,1,8,7,6.46,99.15,11.07,237.8,94.26
2014,1,8,8,6.3,99.27,9.82,239.6,95.76
2014,1,8,9,6.63,99.39,8.86,241.2,95.83
2014,1,8,10,7.28,99.48,7.83,240.5,94.84
2014,1,8,11,7.97,99.52,7.29,239.6,93.63
2014,1,8,12,8.38,99.54,7.12,240.1,91.65
2014,1,8,13,8.41,99.56,6.56,238.4,91.04
2014,1,8,14,7.95,99.55,5.36,231.2,93.33
2014,1,8,15,6.68,99.51,4.62,214.1,97.07
2014,1,8,16,6.2,99.43,4.75,187.4,97.58
2014,1,8,17,6.3,99.4,6.09,171.9,96.71
2014,1,8,18,5.9,99.34,5.74,155.3,96.46
2014,1,8,19,5.23,99.26,5.14,133.1,96.15
2014,1,8,20,4.79,99.13,5.58,102.6,95.89
2014,1,8,21,4.72,98.94,6.61,90.3,95.81
2014,1,8,22,4.65,98.8,6.21,93.1,96.69
2014,1,8,23,4.32,98.67,4.66,98.4,97.5
2014,1,9,0,4.85,98.53,2.65,118.4,98.01
2014,1,9,1,5.08,98.44,0.95,113,97.97
2014,1,9,2,4.91,98.35,0.82,48,97.42
2014,1,9,3,4.52,98.26,1.09,331.6,97.79
2014,1,9,4,4.19,98.2,2.73,328.5,97.93
2014,1,9,5,3.73,98.21,5.12,330.5,97.03
2014,1,9,6,2.86,98.31,6.99,328.2,97.01
2014,1,9,7,2.43,98.44,7.64,318.3,96.92
2014,1,9,8,2.88,98.57,7.69,302.4,97.13
2014,1,9,9,3.93,98.67,8.31,288.1,95.93
2014,1,9,10,5.09,98.78,9.12,281.8,94.47
2014,1,9,11,5.76,98.85,9.95,279.8,93.15
2014,1,9,12,5.96,98.89,10.48,279.6,91.4
2014,1,9,13,5.82,98.93,10.54,278,90.44
2014,1,9,14,5.55,98.97,10.1,275.3,90.1
2014,1,9,15,5.08,99.01,9.54,271.4,90.97
2014,1,9,16,4.63,99.07,9.3,266.5,92.63
2014,1,9,17,4.4,99.13,9.01,262.6,93.62
2014,1,9,18,4.07,99.2,8.66,259.6,95.3
2014,1,9,19,3.83,99.26,8.41,255.8,96.39
2014,1,9,20,3.67,99.3,8.41,252.9,97.13
2014,1,9,21,3.51,99.34,8.39,251.2,97.66
2014,1,9,22,3.53,99.37,8.35,251.3,97.15
2014,1,9,23,3.75,99.38,8.43,251.8,96.06
2014,1,10,0,4.04,99.37,8.21,250.2,94.88
2014,1,10,1,4.21,99.38,8.07,249,94.54
2014,1,10,2,4.18,99.4,7.89,247.3,94.95
2014,1,10,3,3.97,99.42,7.56,243.9,96.19
2014,1,10,4,3.78,99.42,7.05,236.4,97.29
2014,1,10,5,3.55,99.43,6.97,228.7,98.08
2014,1,10,6,3.09,99.45,6.87,218.6,99.88
2014,1,10,7,2.81,99.47,7,207.3,100
2014,1,10,8,2.9,99.48,7.42,200.5,99.58
2014,1,10,9,3.91,99.48,7.54,196.7,96.07
2014,1,10,10,4.62,99.48,7.24,192.2,94.57
2014,1,10,11,5.33,99.45,7.12,189.8,93.89
2014,1,10,12,5.91,99.39,7.28,190,93.72
2014,1,10,13,6.16,99.35,7.63,190.6,94.42
2014,1,10,14,6.14,99.33,8.21,190.6,95.37
2014,1,10,15,5.96,99.31,8.67,191.4,96.2
2014,1,10,16,5.77,99.28,8.91,191.9,96.77
2014,1,10,17,5.72,99.26,8.97,193,96.91
2014,1,10,18,5.77,99.25,8.89,195.7,96.9
2014,1,10,19,5.88,99.24,8.62,200.4,97.02
2014,1,10,20,5.95,99.24,8.05,206.7,97.05
2014,1,10,21,5.94,99.25,7.07,220.9,97.48
2014,1,10,22,5.85,99.28,6.03,249,97.26
2014,1,10,23,5.25,99.34,5.99,278.8,97.7
2014,1,11,0,4.57,99.39,6.47,297.2,98.19
2014,1,11,1,3.8,99.45,6.86,306.6,98.56
2014,1,11,2,3.36,99.53,7.13,303.9,97.87
2014,1,11,3,3.34,99.6,7.49,295.7,96.64
2014,1,11,4,3.4,99.66,7.73,288.2,95.88
2014,1,11,5,3.35,99.7,7.95,282.8,95.23
2014,1,11,6,3.38,99.78,8.42,281.2,94.08
2014,1,11,7,3.31,99.86,8.53,282.1,92.77
2014,1,11,8,3.15,99.95,8.46,283.7,92.24
2014,1,11,9,3.51,100.04,7.96,284.3,91.22
2014,1,11,10,4.07,100.11,7.46,283.9,89.91
2014,1,11,11,4.54,100.19,7.85,285.1,87.63
2014,1,11,12,4.81,100.23,7.95,288.1,84.73
2014,1,11,13,4.87,100.28,7.3,287.8,83.3
2014,1,11,14,4.47,100.35,6.52,282.9,85.92
2014,1,11,15,2.68,100.42,6.32,275.9,93.22
2014,1,11,16,0.98,100.48,6.25,270.5,99.96
2014,1,11,17,0.49,100.52,5.86,266.4,100
2014,1,11,18,0.24,100.56,5.54,261,100
2014,1,11,19,0.15,100.6,4.99,252.6,100
2014,1,11,20,0.07,100.58,4.29,233.7,100
2014,1,11,21,-0.54,100.61,4.6,218.5,100
2014,1,11,22,-0.66,100.63,4.83,206.3,100
2014,1,11,23,-1.14,100.62,5.08,189.3,100
2014,1,12,0,-0.88,100.58,5.77,175.4,100
2014,1,12,1,0.22,100.54,6.25,164.2,100
2014,1,12,2,0.36,100.47,6.33,152.8,98.12
2014,1,12,3,0.27,100.41,6.59,146.8,97.68
2014,1,12,4,-0.01,100.36,6.97,140.8,98.33
2014,1,12,5,-0.01,100.31,7.26,136.2,98.02
2014,1,12,6,0.06,100.26,7.5,133.3,97.46
2014,1,12,7,0.06,100.22,8.14,132.6,97.41
2014,1,12,8,0.06,100.16,8.75,132.1,97.1
2014,1,12,9,0.47,100.08,9.37,135,95.95
2014,1,12,10,1.17,99.96,10.21,139.6,94.72
2014,1,12,11,1.75,99.83,10.24,140.5,94.65
2014,1,12,12,2.19,99.67,9.5,137.6,95.59
2014,1,12,13,2.59,99.51,9.5,134.7,95.78
2014,1,12,14,2.88,99.35,9.99,134.6,96.21
2014,1,12,15,3.1,99.21,10.37,135.4,96.66
2014,1,12,16,3.37,99.08,10.66,135.6,96.94
2014,1,12,17,3.71,98.94,11.03,136.2,96.9
2014,1,12,18,3.93,98.81,11.46,138.3,96.84
2014,1,12,19,4.07,98.69,11.48,142.6,96.55
2014,1,12,20,4.21,98.6,10.84,149.8,96.28
2014,1,12,21,4.49,98.54,9.82,169,96.03
2014,1,12,22,5.17,98.53,8.47,208.6,95.84
2014,1,12,23,5.54,98.58,9.56,248.9,94.5
2014,1,13,0,4.6,98.65,10.18,259.3,95.58
2014,1,13,1,3.29,98.71,8.77,248.2,98.77
2014,1,13,2,2.76,98.75,7.84,236,100
2014,1,13,3,2.56,98.75,7.09,224.1,100
2014,1,13,4,2.76,98.74,6.98,211.7,99.61
2014,1,13,5,2.87,98.73,7.44,207.2,99.25
2014,1,13,6,2.75,98.75,7.3,202.9,99.48
2014,1,13,7,2.6,98.76,7.09,199.9,99.49
2014,1,13,8,2.48,98.78,6.96,195.7,99.71
2014,1,13,9,3.21,98.76,6.59,184.5,98.15
2014,1,13,10,3.84,98.73,6.45,177.3,97.18
2014,1,13,11,4.22,98.67,6.6,172.8,96.66
2014,1,13,12,4.56,98.58,7.2,169.2,95.42
2014,1,13,13,4.61,98.49,7.43,161.1,95.37
2014,1,13,14,4.47,98.4,7.53,150.9,96.41
2014,1,13,15,4.51,98.33,8.15,144,96.81
2014,1,13,16,4.69,98.27,8.77,142,96.46
2014,1,13,17,4.8,98.19,8.8,141.4,96.37
2014,1,13,18,4.61,98.14,8.38,146.7,96.32
2014,1,13,19,4.09,98.1,7.24,157.5,96.6
2014,1,13,20,3.73,98.09,5.64,179.7,96.52
2014,1,13,21,3.65,98.11,5.09,217.5,96.09
2014,1,13,22,3.72,98.14,5.88,249.4,95.26
2014,1,13,23,3.79,98.19,6.8,267.5,94.64
2014,1,14,0,3.76,98.22,6.99,275,94.29
2014,1,14,1,3.67,98.28,7.12,276.8,93.75
2014,1,14,2,3.52,98.33,7.33,278.4,93.21
2014,1,14,3,3.38,98.38,7.65,278.8,92.96
2014,1,14,4,3.36,98.42,8.08,281.1,92.33
2014,1,14,5,3.23,98.47,8.19,283.2,92.4
2014,1,14,6,3.02,98.51,8.18,283.9,92.38
2014,1,14,7,2.97,98.57,8.21,283.5,92.13
2014,1,14,8,3.11,98.67,8.41,282.9,91.53
2014,1,14,9,3.74,98.74,7.74,281.9,90.17
2014,1,14,10,4.36,98.77,6.42,275.8,89
2014,1,14,11,4.68,98.78,5.65,266,88.34
2014,1,14,12,4.88,98.77,4.89,253.2,87.65
2014,1,14,13,5,98.75,4.62,238.4,86.72
2014,1,14,14,4.43,98.76,4.72,222.3,90.44
2014,1,14,15,3.35,98.75,5.37,198.1,94.52
2014,1,14,16,2.99,98.71,6.86,179.1,95.26
2014,1,14,17,3.02,98.67,7.64,167.8,95.44
2014,1,14,18,2.78,98.61,8.28,160.3,96.6
2014,1,14,19,2.65,98.53,8.98,155.7,96.78
2014,1,14,20,2.65,98.44,9.46,154.7,96.89
2014,1,14,21,2.83,98.35,10.03,166.8,96.41
2014,1,14,22,3.26,98.27,9.88,179.1,95.89
2014,1,14,23,3.81,98.2,8.73,184.3,96.47
2014,1,15,0,4.31,98.14,7.42,187.4,97.04
2014,1,15,1,4.96,98.08,6.91,195.2,97
2014,1,15,2,5.35,98.06,6.93,198.1,97.53
2014,1,15,3,5.74,98,7.1,199.8,98.1
2014,1,15,4,6.1,97.95,7.37,195.7,98.12
2014,1,15,5,6.62,97.91,8.04,191.5,97.83
2014,1,15,6,7.08,97.88,8.69,194.7,97.39
2014,1,15,7,7.47,97.86,9.31,197.5,96.92
2014,1,15,8,7.54,97.85,8.98,191.8,96.89
2014,1,15,9,7.69,97.82,8.9,185.4,96.62
2014,1,15,10,7.86,97.79,8.9,182.6,96.66
2014,1,15,11,8.09,97.75,8.86,180.4,96.41
2014,1,15,12,8.31,97.68,8.97,177.5,96.19
2014,1,15,13,8.32,97.61,9.55,176.3,96.06
2014,1,15,14,8.28,97.57,9.84,176.4,95.99
2014,1,15,15,8.23,97.53,9.97,178.1,95.71
2014,1,15,16,8.03,97.51,9.38,178.1,96.43
2014,1,15,17,7.86,97.51,9.27,180.6,96.96
2014,1,15,18,7.76,97.48,8.37,178.2,97.15
2014,1,15,19,7.73,97.43,8.06,172.4,97
2014,1,15,20,7.59,97.39,8.72,179.1,95.81
2014,1,15,21,7.01,97.36,8,186.7,96.1
2014,1,15,22,6.46,97.33,6.47,190.6,97.69
2014,1,15,23,6,97.31,5.73,195.1,98.66
2014,1,16,0,5.33,97.31,6.02,199.8,99.7
2014,1,16,1,4.91,97.33,6.09,196.4,99.82
2014,1,16,2,4.77,97.34,6.25,188,99.18
2014,1,16,3,4.63,97.32,6.71,180.3,98.85
2014,1,16,4,4.53,97.3,6.72,173.8,98.42
2014,1,16,5,4.46,97.29,6.55,168.9,98.34
2014,1,16,6,4.31,97.28,6.49,162.2,98.25
2014,1,16,7,4.26,97.29,6.69,158.5,98.23
2014,1,16,8,4.33,97.29,6.97,155.4,97.93
2014,1,16,9,4.5,97.27,7.57,156.6,97.31
2014,1,16,10,4.74,97.23,8.1,154.6,96.92
2014,1,16,11,5.17,97.16,8.57,151.7,96.45
2014,1,16,12,5.67,97.08,8.82,149,96.47
2014,1,16,13,6.12,97,8.72,145.3,96.55
2014,1,16,14,6.35,96.93,9.53,148.8,95.76
2014,1,16,15,6.24,96.88,9.49,150.3,95.31
2014,1,16,16,6.01,96.86,9.36,149.4,95.65
2014,1,16,17,5.96,96.84,9.36,150.1,95.63
2014,1,16,18,5.96,96.83,9.26,150.9,95.62
2014,1,16,19,5.93,96.82,8.78,150.5,95.81
2014,1,16,20,5.91,96.8,8.31,149.1,95.93
2014,1,16,21,5.82,96.77,7.66,145,96.5
2014,1,16,22,5.71,96.75,7.94,147.7,96.71
2014,1,16,23,5.54,96.73,7.81,149.6,97.16
2014,1,17,0,5.41,96.71,7.71,150.8,97.33
2014,1,17,1,5.33,96.68,7.62,153.4,97.33
2014,1,17,2,5.26,96.66,7.54,157.9,97.44
2014,1,17,3,5.18,96.65,7.27,161.6,97.62
2014,1,17,4,5.08,96.66,7.18,166.4,97.79
2014,1,17,5,5.12,96.68,7.39,175,97.53
2014,1,17,6,5.1,96.72,7.41,181,97.53
2014,1,17,7,5.09,96.77,7.63,189.6,97.3
2014,1,17,8,4.99,96.84,7.67,193.2,97.17
2014,1,17,9,5.2,96.91,7.73,200,96.17
2014,1,17,10,5.6,96.97,7.56,206.6,94.78
2014,1,17,11,5.93,97,7.99,215.3,92.5
2014,1,17,12,6.03,97.03,7.98,221.5,90.9
2014,1,17,13,6.02,97.06,7.74,225.2,89.66
2014,1,17,14,5.84,97.12,7.42,227.4,90
2014,1,17,15,5.24,97.19,7.24,227.1,91.98
2014,1,17,16,4.37,97.28,7.22,225.5,94.49
2014,1,17,17,3.99,97.36,6.93,220.8,95.98
2014,1,17,18,3.68,97.43,6.61,212.5,96.99
2014,1,17,19,3.67,97.49,6.66,203.4,97.32
2014,1,17,20,3.81,97.54,6.79,194.2,97.37
2014,1,17,21,3.68,97.57,6.95,184.9,98.3
2014,1,17,22,3.59,97.59,7.3,180.5,98.56
2014,1,17,23,3.83,97.6,7.24,176.9,97.69
2014,1,18,0,3.81,97.58,7.12,170.6,98.01
2014,1,18,1,3.63,97.56,7.11,162.8,98.84
2014,1,18,2,3.54,97.54,7.02,153.1,98.86
2014,1,18,3,3.6,97.52,6.65,140.1,98.41
2014,1,18,4,3.68,97.47,6.6,123.8,98.01
2014,1,18,5,3.84,97.41,7.13,111.9,97.62
2014,1,18,6,4.07,97.36,8.08,109.5,96.96
2014,1,18,7,4.64,97.32,9.25,120.1,96.77
2014,1,18,8,5.43,97.29,10.74,133,96.74
2014,1,18,9,5.94,97.26,11.53,138.4,96.52
2014,1,18,10,6.28,97.24,11.68,139.5,95.88
2014,1,18,11,6.54,97.21,11.64,139.6,95.43
2014,1,18,12,6.72,97.17,11.32,139.3,95.01
2014,1,18,13,6.91,97.14,11.08,138.1,94.68
2014,1,18,14,7.05,97.13,11.13,138,94.69
2014,1,18,15,7.09,97.14,11.09,136.9,95.05
2014,1,18,16,6.95,97.16,10.98,132.8,95.68
2014,1,18,17,6.75,97.18,11.41,129,96.39
2014,1,18,18,6.63,97.21,12.11,129.8,96.12
2014,1,18,19,6.46,97.24,12.18,131.5,95.99
2014,1,18,20,6.39,97.26,11.78,133,95.83
2014,1,18,21,6.4,97.28,11.15,134.7,95.94
2014,1,18,22,6.34,97.29,10.41,136.2,96.02
2014,1,18,23,6.2,97.29,9.47,137.9,96.47
2014,1,19,0,5.88,97.3,8.27,140.6,97.13
2014,1,19,1,5.56,97.32,7.18,147.6,97.11
2014,1,19,2,5.24,97.37,5.97,159.7,96.89
2014,1,19,3,5,97.41,4.93,176.5,96.95
2014,1,19,4,4.66,97.45,4.29,197,97.5
2014,1,19,5,4.26,97.5,3.95,217.6,97.5
2014,1,19,6,3.84,97.55,3.87,235.3,96.99
2014,1,19,7,3.61,97.59,3.66,246.2,96.06
2014,1,19,8,3.63,97.65,3.34,251,94.79
2014,1,19,9,4.38,97.71,3.13,250.8,92.97
2014,1,19,10,5.06,97.76,3.1,246.4,88.52
2014,1,19,11,5.46,97.8,3.54,241.7,85.43
2014,1,19,12,5.74,97.82,4.1,236.4,83.29
2014,1,19,13,5.91,97.85,4.49,228.4,82.17
2014,1,19,14,5.66,97.89,4.69,217.3,85.19
2014,1,19,15,4.27,97.95,5.32,204.8,90.52
2014,1,19,16,2.73,98.02,6.09,193.3,93.41
2014,1,19,17,2.27,98.09,6.88,182.5,95.28
2014,1,19,18,2,98.17,7.56,175,96.54
2014,1,19,19,1.87,98.23,7.86,170.9,96.83
2014,1,19,20,1.77,98.28,7.7,165.3,97.58
2014,1,19,21,1.89,98.32,7.53,163.6,97
2014,1,19,22,1.79,98.35,7.04,160.8,97.74
2014,1,19,23,1.54,98.39,6.63,160,98.85
2014,1,20,0,1.47,98.43,6.28,164.8,99.4
2014,1,20,1,1.79,98.49,5.8,173.6,98.56
2014,1,20,2,2.1,98.56,5.31,184.5,98.23
2014,1,20,3,2.37,98.63,4.86,193.9,98.61
2014,1,20,4,2.52,98.7,4.35,197.3,98.92
2014,1,20,5,2.58,98.78,3.98,195.7,99
2014,1,20,6,2.43,98.86,3.8,193.7,99.49
2014,1,20,7,2.34,98.94,3.68,191.8,99.78
2014,1,20,8,2.38,99.04,3.6,191.1,99.81
2014,1,20,9,3.2,99.13,3.36,192.5,97.55
2014,1,20,10,4.18,99.2,2.91,195.9,95.33
2014,1,20,11,4.89,99.23,2.42,209.2,92.38
2014,1,20,12,5.54,99.24,2.14,227.3,88.31
2014,1,20,13,5.85,99.26,1.88,238.9,86.45
2014,1,20,14,5.84,99.29,1.5,240.5,88.59
2014,1,20,15,5,99.34,1.42,231.3,87.96
2014,1,20,16,4.25,99.39,1.62,224.3,88.72
2014,1,20,17,3.92,99.43,1.82,218.1,90.45
2014,1,20,18,3.55,99.46,2.02,206.8,92.06
2014,1,20,19,3,99.47,2.36,196.2,94.46
2014,1,20,20,2.42,99.48,2.87,190,96.69
2014,1,20,21,1.8,99.47,3.49,188.2,99.23
2014,1,20,22,1.31,99.47,3.98,187.7,100
2014,1,20,23,0.87,99.46,4.31,186.7,100
2014,1,21,0,0.29,99.46,4.56,185.7,100
2014,1,21,1,-0.07,99.45,4.9,180.8,100
2014,1,21,2,-0.26,99.42,5.41,173.3,100
2014,1,21,3,0.11,99.4,6.12,169.6,100
2014,1,21,4,0.57,99.36,6.49,164.6,100
2014,1,21,5,0.75,99.31,6.79,158.6,99.21
